Status,Confidence,Hash Distance,Reference Image,HD Match,Output File
Matched,Medium,10,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\745 Walk Around\745-walk-around-gallery-04.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\ExtremeBoats-745-WalkAround (2).jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\745 Walk Around\745 Walk Around_005.jpg
Matched,High,4,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\745 Walk Around\745-walk-around-gallery-05.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\ExtremeBoats-745-WalkAround.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\745 Walk Around\745 Walk Around_006.jpg
Matched,High,6,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\745 Walk Around\745-walk-around-gallery-06.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\ExtremeBoats-795-WalkAround (2).jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\745 Walk Around\745 Walk Around_007.jpg
Matched,High,6,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\745 Walk Around\745-walk-around-gallery-07.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\IMG_0721.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\745 Walk Around\745 Walk Around_008.jpg
Unmatched,No Match,14,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\745 Walk Around\745-walk-around-hero.jpg,,
Matched,High,4,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\795 Walk Around\795-walk-around-card.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\IMG_5294.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\795 Walk Around\795 Walk Around_001.jpg
Matched,Medium,8,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\795 Walk Around\795-walk-around-gallery-01.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\Extreme 795 Walk Around.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\795 Walk Around\795 Walk Around_002.jpg
Matched,High,6,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\795 Walk Around\795-walk-around-gallery-02.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\IMG_5570-2.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\795 Walk Around\795 Walk Around_003.jpg
Matched,Medium,10,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\795 Walk Around\795-walk-around-gallery-03.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\a New stock boat pics\Extreme 795WA\FB_IMG_1711527784894.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\795 Walk Around\795 Walk Around_004.jpg
Matched,Medium,10,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\795 Walk Around\795-walk-around-gallery-04.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\IMG_9711.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\795 Walk Around\795 Walk Around_005.jpg
